Query seq	Query length (nt)	Hit HOT	Hit HOMD seq name	HOMD clone name	Identities (%)	Mismatch	Identities (no gaps & non-AGCTU) (%)	Mismatch (no gaps & non-AGCTU)	Score (bits)	Query Start	Sbjct Start	Query End	Sbjct End
B902651_B15_JTC_WGACA65150_R_WGACA65150	722	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.6	3/722	99.6	3/722	1288	1	1288	722	567
	
B902651_C03_JTC_WGACA65162_R_WGACA65162	789	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	99.9	1/789	100	0/788	1415	1	1310	789	523
	
B902651_F14_JTC_WGACA65245_R_WGACA65245	471	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99.8	1/471	99.8	1/471	845	1	1301	471	831
	
B902651_L20_JTC_WGACA65395_R_WGACA65395	615	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.7	2/615	99.7	2/615	1101	1	1287	615	673
	
B902652_B15_JTC_WGACA65150_F_WGACA65150	780	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.9	1/780	99.9	1/780	1402	1	140	780	919
	
B902652_C03_JTC_WGACA65162_F_WGACA65162	896	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	99.6	4/896	99.6	4/896	1599	1	29	896	924
	
B902652_F14_JTC_WGACA65245_F_WGACA65245	809	215	215DR011 	Leptotrichia sp. | HOT_215 | Clone_DR011 | GB_AF385518 | Unnamed | G | 5	99	8/809	99.1	7/808	1420	1	29	809	836
	
B902652_L20_JTC_WGACA65395_F_WGACA65395	779	875	875_CN01 	SR1 [G-1] sp. | HOT_875 | Clone_CN01 | GB_JX294356 | Phylotype | X | 5	99.9	1/779	99.9	1/779	1400	1	138	779	916
	
B902653_O13_JTC_WGACA65076_R_WGACA65076	203	352	352DR034 	TM7 [G-1] sp. | HOT_352 | Clone_DR034 | GB_AF385520 | Phylotype | X | 5	93.1	14/204	93.6	13/203	302	1	1287	203	1084
	
B902654_O13_JTC_WGACA65076_F_WGACA65076	746	870	870_4Z11 	TM7 [G-6] sp. | HOT_870 | Clone_4Z11 | GB_KM018322 | Phylotype | X | 4	99.1	7/746	99.2	6/745	1310	1	93	746	837
	
B902655_E07_JTC_WGACA64446_R_WGACA64446	648	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.8	1/648	99.8	1/648	1164	1	1307	648	660
	
B902656_E07_JTC_WGACA64446_F_WGACA64446	828	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.9	1/828	99.9	1/828	1489	1	95	828	922
	
B902682_A02_JTC_WGACA60505_F_WGACA60505	660	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.8	1/660	99.8	1/660	1186	1	142	660	801
	
B902682_A15_JTC_WGACA60518_F_WGACA60518	829	417	417_8621 	Leptotrichia sp. | HOT_417 | Clone_C3MKM102 | GB_AY278621 | Phylotype | X | 5	99	8/829	99	8/829	1460	1	94	829	922
	
B902682_B15_JTC_WGACA60542_F_WGACA60542	851	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.8	2/850	99.8	2/850	1525	2	35	851	884
	
B902682_B19_JTC_WGACA60546_F_WGACA60546	613	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	100	0/613	100	0/613	1106	1	33	613	645
	
B902682_C20_JTC_WGACA60571_F_WGACA60571	677	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/677	100	0/676	1213	1	144	677	819
	
B902682_C21_JTC_WGACA60572_F_WGACA60572	562	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	2/561	99.8	1/560	1000	2	141	562	700
	
B902682_D05_JTC_WGACA60580_F_WGACA60580	734	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/734	99.9	1/734	1319	1	94	734	827
	
B902682_D17_JTC_WGACA60592_F_WGACA60592	762	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/762	99.9	1/762	1370	1	98	762	859
	
B902682_D20_JTC_WGACA60595_F_WGACA60595	776	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/776	99.7	2/776	1391	1	137	776	912
	
B902682_E03_JTC_WGACA60602_F_WGACA60602	775	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/775	99.7	2/775	1389	1	95	775	869
	
B902682_F15_JTC_WGACA60638_F_WGACA60638	774	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/774	99.9	1/774	1391	1	95	774	868
	
B902682_G13_JTC_WGACA60660_F_WGACA60660	642	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/642	99.7	2/642	1150	1	95	642	736
	
B902682_H03_JTC_WGACA60674_F_WGACA60674	778	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/779	100	0/778	1397	1	94	778	872
	
B902682_H05_JTC_WGACA60676_F_WGACA60676	838	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.6	3/838	99.8	2/837	1494	1	29	838	865
	
B902682_H19_JTC_WGACA60690_F_WGACA60690	797	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	99.9	1/797	99.9	1/797	1433	1	97	797	893
	
B902682_I15_JTC_WGACA60710_F_WGACA60710	917	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.5	5/915	99.6	4/914	1624	4	33	917	947
	
B902682_K02_JTC_WGACA60745_F_WGACA60745	744	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/745	99.9	1/743	1323	1	93	744	836
	
B902682_M02_JTC_WGACA60793_F_WGACA60793	698	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.3	5/698	99.9	1/694	1222	1	95	698	788
	
B902682_O02_JTC_WGACA60841_F_WGACA60841	733	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/733	99.7	2/732	1305	1	93	733	824
	
B902682_O08_JTC_WGACA60847_F_WGACA60847	703	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/703	99.9	1/701	1247	1	93	703	793
	
B902682_P02_JTC_WGACA60865_F_WGACA60865	732	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/732	99.7	2/732	1312	1	136	732	867
	
B902682_P06_JTC_WGACA60869_F_WGACA60869	605	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/605	99.7	2/605	1083	1	137	605	741
	
B902682_P08_JTC_WGACA60871_F_WGACA60871	532	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	2/532	99.6	2/532	951	1	95	532	626
	
B902682_P15_JTC_WGACA60878_F_WGACA60878	808	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99.4	5/809	99.6	3/807	1429	1	98	808	905
	
B902683_A02_JTC_WGACA60505_R_WGACA60505	410	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	98.5	6/410	98.5	6/410	713	1	1224	410	815
	
B902683_A15_JTC_WGACA60518_R_WGACA60518	303	417	417_8621 	Leptotrichia sp. | HOT_417 | Clone_C3MKM102 | GB_AY278621 | Phylotype | X | 5	97	9/303	97	9/303	506	1	1294	303	992
	
B902683_B15_JTC_WGACA60542_R_WGACA60542	791	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/791	100	0/790	1418	1	1301	791	512
	
B902683_B19_JTC_WGACA60546_R_WGACA60546	789	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/790	100	0/788	1409	1	1300	789	512
	
B902683_C20_JTC_WGACA60571_R_WGACA60571	838	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/838	100	0/835	1487	1	1341	838	507
	
B902683_C21_JTC_WGACA60572_R_WGACA60572	831	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/831	100	0/828	1474	1	1340	831	513
	
B902683_D05_JTC_WGACA60580_R_WGACA60580	790	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	100	0/790	100	0/790	1425	1	1301	790	512
	
B902683_D17_JTC_WGACA60592_R_WGACA60592	793	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/793	100	0/792	1422	1	1301	793	510
	
B902683_D20_JTC_WGACA60595_R_WGACA60595	790	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/790	100	0/789	1416	1	1301	790	513
	
B902683_E03_JTC_WGACA60602_R_WGACA60602	905	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/905	100	0/904	1624	1	1410	905	507
	
B902683_F15_JTC_WGACA60638_R_WGACA60638	789	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.9	1/789	100	0/788	1415	1	1300	789	513
	
B902683_G13_JTC_WGACA60660_R_WGACA60660	616	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	98.9	7/616	99.8	1/610	1063	1	1296	616	687
	
B902683_H03_JTC_WGACA60674_R_WGACA60674	831	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.6	3/832	100	0/829	1476	1	1341	831	512
	
B902683_H05_JTC_WGACA60676_R_WGACA60676	670	473	473HF050 	Alloprevotella sp. | HOT_473 | Clone_HF050 | GB_AY349399 | Unnamed | G | 5	99.3	5/670	99.3	5/670	1186	1	1313	670	644
	
B902683_H19_JTC_WGACA60690_R_WGACA60690	751	075	075_F058 	Ruminococcaceae [G-1] sp. | HOT_075 | Clone__F058 | GB_AF287779 | Phylotype | X | 4	99.6	3/747	100	0/744	1323	1	1308	747	565
	
B902683_I15_JTC_WGACA60710_R_WGACA60710	728	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.3	5/728	99.9	1/724	1276	1	1309	728	586
	
B902683_K02_JTC_WGACA60745_R_WGACA60745	902	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.8	2/902	99.8	2/902	1618	1	1413	902	512
	
B902683_M02_JTC_WGACA60793_R_WGACA60793	902	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	3/902	99.8	2/901	1609	1	1410	902	510
	
B902683_O02_JTC_WGACA60841_R_WGACA60841	897	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	3/897	99.8	2/896	1600	1	1407	897	512
	
B902683_O08_JTC_WGACA60847_R_WGACA60847	789	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/790	99.9	1/789	1413	1	1302	789	513
	
B902683_P02_JTC_WGACA60865_R_WGACA60865	874	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.4	5/874	99.5	4/873	1550	1	1410	874	538
	
B902683_P06_JTC_WGACA60869_R_WGACA60869	791	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	2/792	100	0/790	1413	1	1302	791	512
	
B902683_P08_JTC_WGACA60871_R_WGACA60871	324	222	222_7816 	Leptotrichia wadei | HOT_222 | Strain_A39FD | GB_AF287816 | Named | G | 5	99.7	1/324	99.7	1/324	580	1	1296	324	973
	
B902683_P15_JTC_WGACA60878_R_WGACA60878	519	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99.2	4/519	99.2	4/519	919	1	1338	519	820
	
B902684_B01_JTC_WGACA60912_F_WGACA60912	786	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.7	2/786	99.7	2/786	1409	1	93	786	878
	
B902684_B02_JTC_WGACA60913_F_WGACA60913	831	329	329BU084 	Capnocytophaga leadbetteri | HOT_329 | Clone_BU084 | GB_AF385569 | Named | G | 5	99.3	6/831	99.3	6/831	1472	1	94	831	924
	
B902684_B07_JTC_WGACA60918_F_WGACA60918	840	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	98.8	10/840	98.9	9/839	1467	1	94	840	932
	
B902684_G06_JTC_WGACA61037_F_WGACA61037	709	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.9	1/709	99.9	1/709	1274	1	141	709	849
	
B902684_I06_JTC_WGACA61085_F_WGACA61085	734	627	627_1748 	Capnocytophaga haemolytica | HOT_627 | Clone_069086_014 | GB_JQ451748 | Named | G | 4	99.2	6/735	99.6	3/732	1288	1	142	734	874
	
B902684_O07_JTC_WGACA61230_F_WGACA61230	829	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.6	3/829	99.6	3/829	1481	1	93	829	921
	
B902685_B01_JTC_WGACA60912_R_WGACA60912	803	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.6	3/803	99.6	3/803	1434	1	1341	803	539
	
B902685_B02_JTC_WGACA60913_R_WGACA60913	788	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.7	2/788	99.9	1/787	1409	1	1341	788	555
	
B902685_B07_JTC_WGACA60918_R_WGACA60918	787	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.6	3/787	99.6	3/787	1406	1	1302	787	516
	
B902685_C12_JTC_WGACA60947_R_WGACA60947	429	191	191FMA5B 	Propionibacterium acidifaciens | HOT_191 | Strain_FMA5 | GB_AF287756 | Named | G | 3	100	0/429	100	0/429	774	1	1225	429	797
	
B902685_G06_JTC_WGACA61037_R_WGACA61037	758	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	100	0/758	100	0/758	1368	1	1302	758	545
	
B902685_I06_JTC_WGACA61085_R_WGACA61085	771	627	627_1748 	Capnocytophaga haemolytica | HOT_627 | Clone_069086_014 | GB_JQ451748 | Named | G | 4	98.7	10/772	98.8	9/771	1344	1	1307	771	536
	
B902685_O07_JTC_WGACA61230_R_WGACA61230	788	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.6	3/788	99.6	3/788	1407	1	1303	788	516
	
B902686_A23_JTC_WGACA61294_F_WGACA61294	519	627	627_1748 	Capnocytophaga haemolytica | HOT_627 | Clone_069086_014 | GB_JQ451748 | Named | G | 4	98.7	7/519	98.8	6/518	901	1	147	519	664
	
B902686_B14_JTC_WGACA61309_F_WGACA61309	680	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/680	99.9	1/680	1222	1	142	680	821
	
B902686_C16_JTC_WGACA61335_F_WGACA61335	561	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.8	1/561	99.8	1/561	1007	1	163	561	723
	
B902686_H10_JTC_WGACA61449_F_WGACA61449	691	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	98.4	11/694	99.1	6/689	1184	1	163	691	854
	
B902686_K02_JTC_WGACA61513_F_WGACA61513	741	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.1	7/742	99.3	5/740	1299	1	138	741	878
	
B902686_K13_JTC_WGACA61524_F_WGACA61524	771	329	329BM058 	Capnocytophaga leadbetteri | HOT_329 | Clone_BM058 | GB_AY005075 | Named | G | 5	99.5	4/771	99.7	2/769	1366	1	97	771	865
	
B902687_A14_JTC_WGACA61285_R_WGACA61285	220	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	98.2	4/220	98.2	4/220	379	1	1179	220	960
	
B902687_A23_JTC_WGACA61294_R_WGACA61294	728	627	627_1748 	Capnocytophaga haemolytica | HOT_627 | Clone_069086_014 | GB_JQ451748 | Named | G | 4	98.5	11/728	98.8	9/726	1256	1	1303	728	578
	
B902687_B14_JTC_WGACA61309_R_WGACA61309	764	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/764	99.9	1/764	1373	1	1349	764	586
	
B902687_C16_JTC_WGACA61335_R_WGACA61335	816	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.6	3/817	99.8	2/816	1456	1	1307	816	491
	
B902687_C17_JTC_WGACA61336_R_WGACA61336	353	124	124F0399 	Selenomonas artemidis | HOT_124 | Strain_F0399 | GB_HM596274 | Named | G | 4	98	7/353	98	7/353	605	1	1248	353	896
	
B902687_F08_JTC_WGACA61399_R_WGACA61399	741	124	124F0399 	Selenomonas artemidis | HOT_124 | Strain_F0399 | GB_HM596274 | Named | G | 4	99.2	6/742	99.7	2/738	1297	1	1327	741	589
	
B902687_H10_JTC_WGACA61449_R_WGACA61449	818	329	329BU084 	Capnocytophaga leadbetteri | HOT_329 | Clone_BU084 | GB_AF385569 | Named | G | 5	99.4	5/818	99.5	4/817	1449	1	1337	818	521
	
B902687_K02_JTC_WGACA61513_R_WGACA61513	803	329	329BU084 	Capnocytophaga leadbetteri | HOT_329 | Clone_BU084 | GB_AF385569 | Named | G | 5	99.5	4/803	99.5	4/803	1431	1	1341	803	539
	
B902687_K13_JTC_WGACA61524_R_WGACA61524	827	329	329BR085 	Capnocytophaga leadbetteri | HOT_329 | Clone_BR085 | GB_GU350453 | Named | G | 5	99.5	4/828	99.6	3/827	1472	1	1341	827	514
	
B902688_A04_JTC_WGACA61659_F_WGACA61659	433	781	781_3320 	Prevotella saccharolytica | HOT_781 | Strain_JCM 17484 | GB_NR_113320 | Named | G | 4	99.5	2/433	99.5	2/433	773	1	220	433	652
	
B902688_A08_JTC_WGACA61663_F_WGACA61663	645	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.5	3/645	99.7	2/644	1146	1	142	645	785
	
B902688_B02_JTC_WGACA61681_F_WGACA61681	774	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.4	5/774	99.7	2/771	1368	1	135	774	905
	
B902688_B04_JTC_WGACA61683_F_WGACA61683	845	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	99.4	5/845	99.5	4/844	1498	1	93	845	936
	
B902688_D15_JTC_WGACA61742_F_WGACA61742	721	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/721	99.9	1/721	1296	1	136	721	856
	
B902688_E05_JTC_WGACA61756_F_WGACA61756	749	902	902-Wade 	Capnocytophaga sp. | HOT_902 | Clone_FL163 | GB_JQ406542 | Phylotype | X | 3	99.3	5/750	99.5	4/749	1326	1	138	749	887
	
B902688_E07_JTC_WGACA61758_F_WGACA61758	775	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.7	2/775	99.7	2/775	1389	1	96	775	870
	
B902688_F12_JTC_WGACA61787_F_WGACA61787	786	161	161_X002 	Veillonella parvula | HOT_161 | Clone__X002 | GB_GU350451 | Named | G | 5	99.7	2/786	99.7	2/786	1409	1	96	786	881
	
B902688_H03_JTC_WGACA61826_F_WGACA61826	905	279	279F450d 	Porphyromonas sp. | HOT_279 | Strain_F0450d | GB_tbd | Unnamed | G | 6	99.7	3/903	99.8	2/902	1611	4	33	905	935
	
B902688_I05_JTC_WGACA61852_F_WGACA61852	683	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.5	10/683	98.7	9/682	1184	1	143	683	824
	
B902688_J12_JTC_WGACA61883_F_WGACA61883	800	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	100	0/800	100	0/800	1443	1	93	800	892
	
B902688_J18_JTC_WGACA61889_F_WGACA61889	708	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.4	11/708	98.4	11/708	1227	1	144	708	851
	
B902688_J20_JTC_WGACA61891_F_WGACA61891	778	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	99.5	4/778	99.5	4/778	1386	1	93	778	870
	
B902688_K08_JTC_WGACA61903_F_WGACA61903	349	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.9	4/349	98.9	4/349	612	1	328	349	676
	
B902688_K13_JTC_WGACA61908_F_WGACA61908	771	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.1	15/773	98.3	13/771	1324	1	99	771	871
	
B902688_K20_JTC_WGACA61915_F_WGACA61915	588	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.5	3/588	99.5	3/588	1047	1	160	588	747
	
B902688_L07_JTC_WGACA61926_F_WGACA61926	608	389	389_0541 	Abiotrophia defectiva | HOT_389 | Strain_ATCC 49176 | GB_D50541 | Named | G | 5	99.5	3/608	99.5	3/608	1083	1	142	608	749
	
B902688_N06_JTC_WGACA61973_F_WGACA61973	814	137	137DS051 	Selenomonas sp. | HOT_137 | Clone_DS051 | GB_AF366273 | Unnamed | G | 4	98.2	15/816	98.4	13/814	1402	1	95	814	910
	
B902688_N15_JTC_WGACA61982_F_WGACA61982	768	392	392_7053 	Leptotrichia sp. | HOT_392 | Clone_P2PB_51 | GB_AY207053 | Phylotype | X | 5	99.5	4/768	99.5	4/768	1368	1	102	768	869
	
B902688_N17_JTC_WGACA61984_F_WGACA61984	660	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	100	0/660	100	0/660	1191	1	220	660	879
	
B902688_P06_JTC_WGACA62021_F_WGACA62021	820	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	99.4	5/821	99.5	4/820	1454	1	93	820	913
	
B902689_A04_JTC_WGACA61659_R_WGACA61659	773	781	781_3320 	Prevotella saccharolytica | HOT_781 | Strain_JCM 17484 | GB_NR_113320 | Named | G | 4	99.7	2/773	99.7	2/773	1386	1	1314	773	542
	
B902689_A08_JTC_WGACA61663_R_WGACA61663	594	347	347BE109 	TM7 [G-1] sp. | HOT_347 | Clone_BE109 | GB_AY005446 | Phylotype | X | 4	99.5	3/594	99.7	2/593	1054	1	1180	594	588
	
B902689_A14_JTC_WGACA61669_R_WGACA61669	704	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.9	1/704	99.9	1/704	1265	1	1327	704	624
	
B902689_B02_JTC_WGACA61681_R_WGACA61681	789	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.7	2/789	99.9	1/788	1411	1	1355	789	568
	
B902689_B04_JTC_WGACA61683_R_WGACA61683	862	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	99.8	2/862	99.8	2/862	1546	1	1410	862	549
	
B902689_D15_JTC_WGACA61742_R_WGACA61742	772	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/772	99.9	1/772	1388	1	1357	772	586
	
B902689_E05_JTC_WGACA61756_R_WGACA61756	828	335	335_4775 	Capnocytophaga sp. | HOT_335 | Clone_069096_232 | GB_JQ454775 | Unnamed | G | 4	99.3	6/828	99.3	6/828	1467	1	1347	828	520
	
B902689_E07_JTC_WGACA61758_R_WGACA61758	765	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	99.9	1/765	99.9	1/765	1375	1	1355	765	591
	
B902689_F12_JTC_WGACA61787_R_WGACA61787	405	161	161Vparv 	Veillonella parvula | HOT_161 | Strain_DSM 2008 | GB_X84005 | Named | G | 5	98.5	6/405	98.5	6/405	704	1	1394	405	990
	
B902689_H03_JTC_WGACA61826_R_WGACA61826	761	284	284EP003 	Porphyromonas sp. | HOT_284 | Clone_EP003 | GB_AY008313 | Lost | X | 4	99.1	7/761	99.1	7/761	1341	1	1320	761	560
	
B902689_I05_JTC_WGACA61852_R_WGACA61852	729	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.9	1/729	99.9	1/729	1310	1	1330	729	602
	
B902689_J12_JTC_WGACA61883_R_WGACA61883	760	322	322AK152 	Bergeyella sp. | HOT_322 | Clone_AK152 | GB_AY008691 | Phylotype | X | 4	100	0/760	100	0/760	1371	1	1317	760	558
	
B902689_J18_JTC_WGACA61889_R_WGACA61889	827	124	124Sart 	Selenomonas artemidis | HOT_124 | Strain_ATCC 43528 | GB_GQ422716 | Named | G | 4	99.4	5/827	99.4	5/827	1469	1	1376	827	550
	
B902689_J20_JTC_WGACA61891_R_WGACA61891	751	219	219EI022 	Leptotrichia sp. | HOT_219 | Clone_EI022 | GB_AF385572 | Phylotype | X | 4	100	0/751	100	0/751	1355	1	1299	751	549
	
